Word,setup_loop.thisRepN,setup_loop.thisTrialN,setup_loop.thisN,setup_loop.thisIndex,shuffle_loop.thisRepN,shuffle_loop.thisTrialN,shuffle_loop.thisN,shuffle_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialsBreak.thisRepN,trialsBreak.thisTrialN,trialsBreak.thisN,trialsBreak.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trialsBreak2.thisRepN,trialsBreak2.thisTrialN,trialsBreak2.thisN,trialsBreak2.thisIndex,thisRow.t,notes,LSL_Stream.started,LSL_Stream.stopped,setup.started,setup.stopped,shuffle_stimuli.started,shuffle_stimuli.stopped,Instructions1.started,imageInstruct1.started,key_resp_Instruct1.started,Instructions1.stopped,key_resp_Instruct1.keys,key_resp_Instruct1.rt,key_resp_Instruct1.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,stimuli_prez_1.started,imagePrez1.started,audioPrez1.started,imagePrez1.stopped,stimuli_prez_1.stopped,response.started,image_resp_p1.started,p1_resp_stim.started,response.stopped,Image,Audio,response_p1,corchoice_p1,Trial_Score_p1,Trial_RT_p1,p1_resp_stim.keys,p1_resp_stim.corr,p1_resp_stim.rt,p1_resp_stim.duration,checkpoint.started,imageBreak.started,imageCont.started,key_break.started,imageBreak.stopped,checkpoint.stopped,key_break.keys,key_break.rt,key_break.duration,Instructions2.started,imageInstruct1_2.started,key_resp_Instruct1_2.started,Instructions2.stopped,key_resp_Instruct1_2.keys,key_resp_Instruct1_2.rt,key_resp_Instruct1_2.duration,fixation_2.started,cross_2.started,cross_2.stopped,fixation_2.stopped,stimuli_prez_2.started,audioPrez2.started,imagePrez2.started,imagePrez2.stopped,stimuli_prez_2.stopped,response_2.started,image_resp_p2.started,p2_resp_stim.started,response_2.stopped,Image2,Audio2,response_p2,corchoice_p2,Trial_Score_p2,Trial_RT_p2,p2_resp_stim.keys,p2_resp_stim.corr,p2_resp_stim.rt,p2_resp_stim.duration,end.started,endscreen.started,key_resp_end.started,end.stopped,key_resp_end.keys,key_resp_end.rt,key_resp_end.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
crown,0,30,30,39,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.199537499982398,0.19974869998986833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
umbrella,0,31,31,166,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.1998539000051096,0.19997409998904914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
toothbrush,0,32,32,161,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.2000732999877073,0.20019169998704456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
pants,0,33,33,109,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.20031919999746606,0.20047209999756888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
snail,0,34,34,144,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.20058829998015426,0.20070859999395907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
button,0,35,35,22,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.2008291999809444,0.20096580000245012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
dog,0,36,36,42,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.2011099999945145,0.2012498999829404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
windmill,0,37,37,175,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.20136079998337664,0.20148769998922944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
leaf,0,38,38,87,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.2016031999955885,0.2017131999891717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
pumpkin,0,39,39,128,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.2018128999916371,0.20192210000823252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
boot,0,40,40,18,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.2020182999840472,0.20211919999564998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
pig,0,41,41,118,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.20221659998060204,0.20237009998527355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
swan,0,42,42,153,,,,,,,,,,,,,,,,,,,,,0.24860749999061227,,,,0.20257799999671988,0.20282889998634346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-01-24_14h46.24.780,NESC3137_N400_exp,2023.2.3,59.84429711001874,2025-01-24 14h47.04.312474 -0400,
