Word,setup_loop.thisRepN,setup_loop.thisTrialN,setup_loop.thisN,setup_loop.thisIndex,shuffle_loop.thisRepN,shuffle_loop.thisTrialN,shuffle_loop.thisN,shuffle_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trialsBreak2.thisRepN,trialsBreak2.thisTrialN,trialsBreak2.thisN,trialsBreak2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialsBreak.thisRepN,trialsBreak.thisTrialN,trialsBreak.thisN,trialsBreak.thisIndex,thisRow.t,notes,LSL_Stream.started,LSL_Stream.stopped,setup.started,setup.stopped,shuffle_stimuli.started,shuffle_stimuli.stopped,Instructions1.started,imageInstruct1.started,key_resp_Instruct1.started,Instructions1.stopped,key_resp_Instruct1.keys,key_resp_Instruct1.rt,key_resp_Instruct1.duration,fixation_2.started,cross_2.started,cross_2.stopped,fixation_2.stopped,stimuli_prez_2.started,audioPrez2.started,imagePrez2.started,imagePrez2.stopped,stimuli_prez_2.stopped,response_2.started,image_resp_p2.started,p2_resp_stim.started,response_2.stopped,Image2,Audio2,response_p2,corchoice_p2,Trial_Score_p2,Trial_RT_p2,p2_resp_stim.keys,p2_resp_stim.corr,p2_resp_stim.rt,p2_resp_stim.duration,checkpoint.started,imageBreak.started,imageCont.started,key_break.started,imageBreak.stopped,checkpoint.stopped,key_break.keys,key_break.rt,key_break.duration,Instructions2.started,imageInstruct1_2.started,key_resp_Instruct1_2.started,Instructions2.stopped,key_resp_Instruct1_2.keys,key_resp_Instruct1_2.rt,key_resp_Instruct1_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,stimuli_prez_1.started,imagePrez1.started,audioPrez1.started,imagePrez1.stopped,stimuli_prez_1.stopped,response.started,image_resp_p1.started,p1_resp_stim.started,response.stopped,Image,Audio,response_p1,corchoice_p1,Trial_Score_p1,Trial_RT_p1,p1_resp_stim.keys,p1_resp_stim.corr,p1_resp_stim.rt,p1_resp_stim.duration,end.started,endscreen.started,key_resp_end.started,end.stopped,key_resp_end.keys,key_resp_end.rt,key_resp_end.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
clown,0,36,36,36,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06776539999918896,0.06789329999992333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
fence,0,37,37,52,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.0679853000001458,0.06808809999893128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
bed,0,38,38,13,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06820369999877585,0.06832000000031258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
peach,0,39,39,110,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06840069999998377,0.06850529999974242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
tennisracket,0,40,40,157,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06857750000017404,0.06867099999908532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
snail,0,41,41,144,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06875140000011015,0.06884059999902092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
scissors,0,42,42,135,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06891079999877547,0.06901529999959166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
cloud,0,43,43,35,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06910989999960293,0.06922279999889724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
onion,0,44,44,104,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06932009999945876,0.06941619999997783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
alligator,0,45,45,2,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06949929999973392,0.06959889999961888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
