Word,setup_loop.thisRepN,setup_loop.thisTrialN,setup_loop.thisN,setup_loop.thisIndex,shuffle_loop.thisRepN,shuffle_loop.thisTrialN,shuffle_loop.thisN,shuffle_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialsBreak.thisRepN,trialsBreak.thisTrialN,trialsBreak.thisN,trialsBreak.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trialsBreak2.thisRepN,trialsBreak2.thisTrialN,trialsBreak2.thisN,trialsBreak2.thisIndex,thisRow.t,notes,LSL_Stream.started,LSL_Stream.stopped,setup.started,setup.stopped,shuffle_stimuli.started,shuffle_stimuli.stopped,Instructions1.started,imageInstruct1.started,key_resp_Instruct1.started,Instructions1.stopped,key_resp_Instruct1.keys,key_resp_Instruct1.rt,key_resp_Instruct1.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,stimuli_prez_1.started,imagePrez1.started,audioPrez1.started,imagePrez1.stopped,stimuli_prez_1.stopped,response.started,image_resp_p1.started,p1_resp_stim.started,image_resp_p1.stopped,p1_resp_stim.stopped,textTimeOut.started,textTimeOut.stopped,response.stopped,Image,Audio,response_p1,corchoice_p1,Trial_Score_p1,Trial_RT_p1,p1_resp_stim.keys,p1_resp_stim.corr,p1_resp_stim.rt,p1_resp_stim.duration,checkpoint.started,imageBreak.started,imageCont.started,key_break.started,imageBreak.stopped,checkpoint.stopped,key_break.keys,key_break.rt,key_break.duration,Instructions2.started,imageInstruct1_2.started,key_resp_Instruct1_2.started,Instructions2.stopped,key_resp_Instruct1_2.keys,key_resp_Instruct1_2.rt,key_resp_Instruct1_2.duration,fixation_2.started,cross_2.started,fixation_2.stopped,stimuli_prez_2.started,audioPrez2.started,imagePrez2.started,imagePrez2.stopped,stimuli_prez_2.stopped,response_2.started,image_resp_p2.started,p2_resp_stim.started,response_2.stopped,Image2,Audio2,response_p2,corchoice_p2,Trial_Score_p2,Trial_RT_p2,p2_resp_stim.keys,p2_resp_stim.corr,p2_resp_stim.rt,p2_resp_stim.duration,cross_2.stopped,end.started,endscreen.started,key_resp_end.started,end.stopped,key_resp_end.keys,key_resp_end.rt,key_resp_end.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
turtle,0,30,30,165,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.10359380001318641,0.1037371999991592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
deer,0,31,31,40,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.10394100000848994,0.1040913000178989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
pear,0,32,32,114,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.1042648000002373,0.10445690000778995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
television,0,33,33,156,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.10458210000069812,0.10470760002499446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
wineglass,0,34,34,177,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.10480830000597052,0.10496630001580343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
clown,0,35,35,36,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.10506650002207607,0.1052215000090655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
chair,0,36,36,30,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.10533080002642237,0.10546560000511818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
suitcase,0,37,37,151,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.10556300001917407,0.10570300000836141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
orange,0,38,38,105,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.10581860001548193,0.10596169999917038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
jacket,0,39,39,79,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.10609790001763031,0.10625970002729446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
